日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/08/31,19:18,晚餐,快餐,14.00,1次,微信,亮哥代付,
2020/08/27,18:30,晚餐,快餐,13.00,1次,微信,亮哥代付,
2020/08/25,18:33,晚餐,快餐,24.70,1次,微信,西奎代付,
