日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/9/13,21:12,地铁,购物公园-上沙,2,1次,微信,乘车码小程序,
2020/9/7,10:57,地铁,梅景-上沙,3,1次,微信,乘车码小程序,
2020/9/7,7:44,地铁,上沙-梅景,3,1次,微信,乘车码小程序,
2020/9/6,21:13,地铁,黄贝岭-上沙,4,1次,微信,乘车码小程序,
2020/9/6,14:57,地铁,上沙-黄贝岭,4,1次,微信,乘车码小程序,
2020/9/4,21:03,地铁,岗厦-岗厦,2,1次,微信,乘车码小程序,
2020/9/7,6:40,公交,大梅沙假日专线1号,3.9,1次,微信,深圳通小程序,
2020/9/6,19:51,公交,大梅沙假日专线1号,3.9,1次,微信,深圳通小程序,
2020/9/13,16:31,电影,3D眼睛,15,2个,微信,英皇电影城,
2020/9/13,16:24,出租车,出租车,14.5,1次,微信,出租车,
2020/9/13,13:35,电影,花木兰,9,1张,微信,东方福利网公众号,
2020/9/7,8:29,医院,挂号费,25,1次,微信,广州中医药大学深圳医院,
2020/9/6,18:12,旅游,大梅沙冲凉房,15,1次,微信,大梅沙,
2020/9/6,15:48,未知,微信红包（单发）发给蒋奉吉,10,1次,微信,微信,以后发红包要加备注
2020/9/4,21:04,KTV,KTV,200,1次,微信,微信,
