日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/07/25,15:44,地铁,,4.00,1次,微信-银行卡,乘车码小程序,
2020/07/25,12:09,午餐,,39.00,1份,微信-银行卡,肯德基门店,
2020/07/25,11:46,地铁,,4.00,1次,微信-银行卡,乘车码小程序,
2020/07/24,10:03,优惠券,中国联通-美团外卖满10减10满减券,3.00,1张,微信-银行卡,联通手机营业厅APP,
2020/07/24,08:52,,,300.00,,微信,,
2020/07/24,08:51,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,微信,楼下包子铺,
2020/07/23,11:27,午餐,,16.50,1份,微信,美团外卖APP,
2020/07/23,09:02,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,微信,楼下包子铺,
2020/07/22,18:26,,,100.00,,微信,,
2020/07/22,11:22,午餐,,17.39,1份,微信,美团外卖APP,
2020/07/22,09:01,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,微信,楼下包子铺,
2020/07/21,20:45,夜宵,,16.00,1份,微信,羊肉饸饹面,
2020/07/21,11:21,午餐,,9.88,1份,微信,美团外卖APP,
2020/07/21,08:59,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,微信,楼下包子铺,
2020/07/20,18:29,晚餐,快餐,16.00,1份,微信,唯客门店,
2020/07/20,11:23,午餐,,17.76,1份,微信,美团外卖APP,
2020/07/19,17:25,,,48.00,,微信,,
2020/07/19,16:21,晚餐,,22.90,1份,微信,美团外卖APP,
2020/07/19,16:04,晚餐,,13.40,1份,微信,美团外卖APP,
2020/07/18,22:06,,,19.00,,微信,,
2020/07/18,11:57,,,30.00,,微信,,
2020/07/17,18:15,晚餐,,63.50,1份,微信,美团外卖APP,
2020/07/17,16:00,优惠券,中国联通-美团外卖满10减10满减券,3.00,1张,微信,联通手机营业厅APP,
2020/07/17,11:20,午餐,,18.00,1份,微信,美团外卖APP,
2020/07/17,08:53,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,微信,楼下包子铺,
2020/07/16,18:09,晚餐,快餐,14.00,1份,微信,唯客门店,
2020/07/16,11:20,午餐,,13.50,1份,微信,美团外卖APP,
