日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/12/04,16:40,地铁,,4.00,1次,微信,乘车码小程序,
2020/12/04,13:13,地铁,,4.00,1次,微信,乘车码小程序,
2020/11/28,19:16,地铁,,3.00,1次,微信,乘车码小程序,
2020/11/28,11:54,,,29.00,,微信-银行卡,,
2020/11/28,09:20,地铁,,3.00,1次,微信,乘车码小程序,
2020/11/27,20:35,地铁,,3.00,1次,微信,乘车码小程序,
2020/11/27,18:34,地铁,,3.00,1次,微信,乘车码小程序,
2020/11/26,23:08,,微信红包（单发）发给撒哈拉牧马人,10.00,1次,微信,微信,
2020/11/25,23:07,,微信红包（单发）发给撒哈拉牧马人,10.00,1次,微信,微信,
2020/11/25,03:16,,微信红包（单发）发给撒哈拉牧马人,70.00,1次,微信,微信,
2020/11/22,14:51,地铁,,3.00,1次,微信,乘车码小程序,
2020/11/22,08:51,地铁,,3.00,1次,微信,乘车码小程序,
2020/11/21,19:51,地铁,,2.70,1次,微信,乘车码小程序,
2020/11/21,13:13,午餐,,44.00,1份,微信-银行卡,肯德基门店,
