日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/08/29,20:05,地铁,,4.00,1次,微信,乘车码小程序,
2020/08/29,18:49,公交,,1.60,1次,微信,深圳通小程序,
2020/08/29,15:07,,,20.00,,微信,,
2020/08/29,10:08,公交,,1.60,1次,微信,深圳通小程序,
2020/08/29,09:58,地铁,,6.00,1次,微信,乘车码小程序,
2020/08/28,10:59,优惠券,中国联通-美团外卖满10减10满减券,3.00,1张,微信,联通手机营业厅APP,
2020/08/24,23:06,网购,,229.00,1次,微信-银行卡,京东APP,
2020/08/23,20:26,地铁,,6.00,1次,微信,乘车码小程序,
2020/08/23,15:26,地铁,,6.00,1次,微信,乘车码小程序,
2020/08/23,09:09,,微信红包（单发）发给蒋奉吉,25.00,1次,微信,微信,
2020/08/20,09:46,地铁,,3.00,1次,微信,乘车码小程序,
2020/08/20,09:09,,,821.00,,微信-银行卡,,
2020/08/20,07:43,地铁,,3.00,1次,微信,乘车码小程序,
